iter	Logloss
0	0.6550465012
1	0.6244225867
2	0.5977381479
3	0.5765294788
4	0.557818571
5	0.5409129547
6	0.5264596711
7	0.513935412
8	0.5032099773
9	0.4923070847
10	0.4823722044
11	0.4748776992
12	0.4676176189
13	0.4607041748
14	0.4545745187
15	0.4490914212
16	0.4443998839
17	0.4404795965
18	0.4364181866
19	0.4333127832
20	0.430085531
21	0.4273774442
22	0.424576388
23	0.4223317878
24	0.4207525408
25	0.4186361059
26	0.4165887398
27	0.4147526726
28	0.4129127801
29	0.4113556138
30	0.4096325626
31	0.4079705551
32	0.4074883628
33	0.4065979441
34	0.405795883
35	0.4049901076
36	0.4041070066
37	0.4030813092
38	0.4019862297
39	0.4006598955
40	0.3996689949
41	0.3987385023
42	0.3978367555
43	0.3970315878
44	0.3960574129
45	0.395173999
46	0.3945109485
47	0.3937698696
48	0.3935381738
49	0.3927419497
50	0.3926110962
51	0.3922177236
52	0.392168425
53	0.3916739865
54	0.3911951323
55	0.39055655
56	0.3904135614
57	0.3903515526
58	0.3900451638
59	0.3895381951
60	0.3892571998
61	0.388938248
62	0.3886015489
63	0.3879209684
64	0.3875253413
65	0.3873318314
66	0.3872792559
67	0.3869568667
68	0.3867422832
69	0.3867282416
70	0.3865512184
71	0.3862479413
72	0.3862447259
73	0.3856615874
74	0.3855800551
75	0.3855197054
76	0.3851021051
77	0.3847509493
78	0.38475049
79	0.3846474445
80	0.3842459175
81	0.3840321171
82	0.3840229142
83	0.3835906085
84	0.3831993256
85	0.3830800397
86	0.3827676076
87	0.3823908004
88	0.382255991
89	0.3821770199
90	0.3817348051
91	0.3816443403
92	0.3815765072
93	0.3813638145
94	0.3810803002
95	0.3808793484
96	0.3805664409
97	0.3802683834
98	0.3800873466
99	0.3797224411
