iter	Passed	Remaining
0	1	144
1	2	134
2	3	129
3	5	130
4	6	131
5	8	130
6	9	127
7	11	126
8	12	125
9	13	121
10	14	119
11	15	113
12	16	109
13	17	108
14	18	106
15	19	103
16	21	102
17	21	99
18	23	98
19	24	97
20	25	96
21	26	95
22	28	94
23	29	93
24	30	90
25	31	89
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	39	83
32	39	80
33	41	79
34	42	78
35	43	76
36	44	75
37	45	74
38	47	73
39	48	72
40	49	71
41	51	70
42	52	69
43	53	68
44	55	67
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	64	57
53	66	56
54	67	55
55	68	54
56	70	52
57	70	51
58	72	50
59	73	49
60	74	47
61	76	46
62	77	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	95	25
79	97	24
80	98	23
81	100	21
82	101	20
83	102	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	124	1
99	125	0
